Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"Stagiaire Finance - Casablanca","Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France, Le Maroc et le Sénégal. Grace à un parcours riche en croissance et en success stories, nous avons su grâce à notre équipe d’experts nous positionner comme des partenaires fiables et incontournables pour nos clients au fil des années. Notre devise : Le surpassement de soi tout en offrant à nos clients partenaires les outils de pointe et l’accompagnement opérationnel hautement qualifiés nécessaire au développement de leur marque, la fidélisation de leurs clients existants et l’élargissement de leur portefeuille.","Bac +3 Minimum","Moins de 1 an - De 1 à 3 ans","Bd Abdelmoumen, Casablanca 20250 Casablanca","Stage","","https://www.rekrute.com/offre-emploi-stagiaire-finance-recrutement-tersea-casablanca-166932.html"
"Data Engineer (H/F) - Casablanca","Océane Consulting Maroc, est la filiale du groupe Océane Consulting basé en France. La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. La culture d’entreprise est orientée vers l’Engagement, le Travail d’équipe et le Respect avec la possibilité pour chacun de s’épanouir et de progresser.","Bac +5 et plus Minimum - Master","De 5 à 10 ans","Confidentiel Confidentiel Confidentiel","CDI","","https://www.rekrute.com/offre-emploi-data-engineer-hf-recrutement-oceane-consulting-it-maroc-casablanca-166931.html"
"Senior Data Engineer AZURE - Technopolis","DXC Technology est née en Avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT.","Bac +4 Minimum - Master","De 5 à 10 ans","Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat","CDI","","https://www.rekrute.com/offre-emploi-senior-data-engineer-azure-recrutement-dxc-technology-maroc-technopolis-166930.html"
"Consultant WMS Anglophone-H/F - Technopolis","DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT.","Bac +5 et plus Minimum - Master","De 5 à 10 ans","Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat","CDI","","https://www.rekrute.com/offre-emploi-consultant-wms-anglophone-hf-recrutement-dxc-technology-maroc-technopolis-166929.html"
"AI Lead - H/F - Rabat","DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au Maroc : la Caisse de Dépôt et de Gestion. DXC Technology Monde a été créée le 3 Avril 2017, suite à la fusion entre deux grands géants du secteur IT ; HPE (Hewlett Packard Enterprise) et CSC (Computer Sciences Corporation). Cette fusion ayant donné naissance à l’un des plus gros acteurs de services aux entreprises au monde : DXC Technology, ce nouveau Groupe dispose d’un portefeuille de plus de 5 900 clients répartis dans plus de 70 pays, dont le Maroc. DXC Technology a été créée sur des fondations solides de confiance et de transformation et sur l’ambition renouvelée d’aider les clients à prospérer par le changement Digital. Ainsi, nous sommes reconnu comme un multiplicateur de forces avec l’objectif principal d’apporter plus de valeur aux clients, aux partenaires et aux actionnaires de la société, et d’offrir davantage d’opportunités aux collaborateurs du groupe","Bac +5 et plus Minimum - Master","De 5 à 10 ans","Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat","CDI","","https://www.rekrute.com/offre-emploi-ai-lead---hf-recrutement-dxc-technology-maroc-rabat-166928.html"
"Data Lead- H/F - Rabat","DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au Maroc : la Caisse de Dépôt et de Gestion. DXC Technology Monde a été créée le 3 Avril 2017, suite à la fusion entre deux grands géants du secteur IT ; HPE (Hewlett Packard Enterprise) et CSC (Computer Sciences Corporation). Cette fusion ayant donné naissance à l’un des plus gros acteurs de services aux entreprises au monde : DXC Technology, ce nouveau Groupe dispose d’un portefeuille de plus de 5 900 clients répartis dans plus de 70 pays, dont le Maroc. DXC Technology a été créée sur des fondations solides de confiance et de transformation et sur l’ambition renouvelée d’aider les clients à prospérer par le changement Digital. Ainsi, nous sommes reconnu comme un multiplicateur de forces avec l’objectif principal d’apporter plus de valeur aux clients, aux partenaires et aux actionnaires de la société, et d’offrir davantage d’opportunités aux collaborateurs du groupe","Bac +5 et plus Minimum - Master","De 5 à 10 ans","Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat","CDI","","https://www.rekrute.com/offre-emploi-data-lead--hf-recrutement-dxc-technology-maroc-rabat-166927.html"
"Chef De Département Produits Frais - Tout le maroc","Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.","Bac +5 et plus Minimum","De 3 à 5 ans","Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT","CDI","","https://www.rekrute.com/offre-emploi-chef-de-departement-produits-frais-recrutement-groupe-labelvie---carrefour-tout-le-maroc-166926.html"
"Chargé(e) des plateformes académiques et de la scolarité - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150","CDI","","https://www.rekrute.com/offre-emploi-chargee-des-plateformes-academiques-et-de-la-scolarite-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166925.html"
"Agent Général (H/F) - Tout le Maroc","Forte de plus de 70 ans d’existence sur le marché, Royale Marocaine d’Assurance, filiale de O ’Capital est un acteur de référence des métiers de l’assurance, leader de son secteur.","Bac +3 Minimum","De 3 à 5 ans - De 5 à 10 ans","83 Avenue des far Casablanca","Autre","","https://www.rekrute.com/offre-emploi-agent-general-hf-recrutement-royale-marocaine-dassurance-tout-le-maroc-166909.html"
"Chef de Projet Formation - Casablanca","ORH Assessment, filiale du groupe LMS ORH, est un cabinet conseil en recrutement qui offre également des prestations en Assessment et prend en charge l’organisation de concours pour le compte de grandes entreprises publiques et privées.","Bac +5 et plus Minimum - Ecole de commerce","De 1 à 3 ans","47, Bd d'Anfa 20070 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-chef-de-projet-formation-recrutement-orh-assessment-casablanca-166924.html"
